node,lat,lon
2720,36.0427031,-94.1685005
2726,53.5510053,10.038666
2729,50.0968833,8.6441701
2731,37.4718094,-121.9201106
2733,43.6508291,-79.3620133
2734,51.5224625,-0.6290497
2735,1.3218215,103.695253
2736,50.12007,8.73561
2737,52.3548837,4.9591573
2738,12.9715987,77.5945627
2740,51.5211441,-0.0720185
2743,53.4985109,14.5926809
2747,40.7127753,-74.0059728
2748,37.3541079,-121.9552356
2753,48.9280308,2.3520324
2756,1.352083,103.819836
2761,3.139003,101.686855
2762,47.2778747,11.5031339
2774,35.6397371,139.7923616
2782,53.3342499,-6.3655434
2784,42.1185351,3.129294
2788,40.9935893,28.8258397
2791,43.6198786,1.4212746
2794,54.3232927,10.1227652
2797,50.0594847,14.4796791
2799,49.4521018,11.0766654
2810,48.268991,16.4106437
2812,47.7920256,13.0106587
2813,50.7832007,6.1344538
2816,51.9870276,5.9339889
2817,-41.2923814,174.7787463
2819,50.8229383,4.3689499
2821,51.2673008,6.8175201
2822,49.5845783,6.2256543
2825,25.0264601,55.1868599
2826,53.736687,10.0839485
2827,36.2387611,44.0082264
2833,40.4393233,-3.6212106
2842,-22.269224,166.460824
2847,52.9886973,-1.1742916
2849,-25.0949222,-50.1038869
2852,52.3924715,4.6637487
2855,52.543666,5.705215
2858,48.9093833,2.3674719
2859,47.3780633,8.4968216
2860,35.7271652,51.4257572
2862,59.887231,30.3291
2873,1.352083,103.819836
2876,32.9918474,-96.9300035
2877,50.1396084,8.7433378
2879,14.5568322,121.0212171
2881,22.3622845,114.1192183
2884,52.3329076,4.919533
2894,50.096109,8.6284112
2896,59.3909289,17.8752145
2898,35.622214,139.747765
2899,48.1930923,16.3920025
2904,47.6143474,-122.3388835
2909,13.0981483,101.10923
2914,40.5802787,-122.4012261
2917,47.6439736,6.843583
2934,4.0510564,9.7678687
2950,9.7333906,-63.1914317
2953,48.1954766,11.5926979
2954,60.2201086,24.8701946
2957,48.7039237,6.1409437
2966,-25.928153,28.1418086
2967,-33.970872,18.465223
2968,51.5188705,7.3741684
2972,47.7561376,10.3166624
2973,51.2670946,6.8174322
2975,48.574041,39.307815
3008,48.9280308,2.3520324
3009,57.63696,39.876352
3011,52.9893248,18.6660783
3022,49.2336944,4.0345399
3024,43.480232,-80.5510907
3027,44.481718,26.120606
3033,45.85347,8.948091
3041,51.1939616,14.3460768
3042,52.5457514,13.4228576
3043,35.6674565,139.7451371
3045,-33.9208487,151.1884302
3049,1.2953133,103.7898559
3050,58.3936951,15.5757907
3053,43.2924349,5.4952833
3054,40.5146179,-3.3386556
3056,41.4896391,2.1233146
3062,-33.55882,-70.57525
3063,44.760615,20.4928708
3066,-38.7183177,-62.2663478
3067,46.4827008,11.3311769
3071,1.2953133,103.7898559
3072,1.4291791,103.7984024
3077,8.9835507,-79.5216809
3080,-34.7250747,-55.9466896
3083,54.6883208,25.215407
3087,33.7773412,-84.3973296
3095,40.606872,-74.174759
3097,51.1845547,4.4212374
3102,61.4520601,23.848592
3107,33.4160099,-112.009445
3108,37.4880731,-77.2441773
3110,38.646407,-121.486335
3112,-36.8493338,174.7655425
3121,42.4716122,-83.2381377
3122,19.3402163,-70.6111982
3128,45.2068778,5.6925023
3129,54.6372337,25.3068428
3135,59.3159705,18.0835809
3144,42.4439356,14.1994954
3145,51.9036018,-8.5122745
3146,-23.5029666,-46.827197
3149,51.2673008,6.8175201
3153,53.7915681,-1.5397237
3161,55.600103,13.0030308
3164,47.5008858,8.7201032
3165,-6.2245908,106.8110858
3169,59.6253325,17.2545898
3175,50.0652004,14.5274343
3176,47.3834092,8.4956042
3177,52.157902,-106.6701577
3184,55.7319711,37.6728019
3194,48.7752859,2.3800026
3195,61.4535792,5.8496685
3196,43.320343,76.9588241
3199,48.9073931,2.370248
3200,47.3834092,8.4956042
3204,51.9876678,4.3782932
3209,52.3924715,4.6637487
3210,52.3444688,4.8314695
3212,50.1281293,8.6010195
3217,-16.4167934,-71.5427443
3220,13.0826802,80.2707184
3221,47.2066913,8.7086082
3231,37.882439,32.4720739
3234,52.1209666,8.647389
3249,51.9555829,7.6389448
3255,52.5020517,13.3692652
3256,1.352083,103.819836
3260,29.0841937,-110.9588742
3284,55.652639,37.528861
3291,59.8872283,30.3285791
3293,27.9499043,-82.4585501
3304,55.5739196,37.5994878
3305,-26.1379476,28.197534
3308,50.4003951,80.2566804
3315,37.4999072,127.0373932
3319,38.5655891,68.8064826
3320,52.5543123,-0.3909045
3323,45.7088319,13.7335238
3334,46.6174626,14.3154684
3341,47.358494,9.4491833
3342,50.0988483,8.6319545
3343,48.1780466,16.3649629
3355,1.4288216,103.7994692
3365,60.1698557,24.938379
3366,52.3675734,4.9041389
3367,39.0437567,-77.4874416
3368,1.352083,103.819836
3369,50.1109221,8.6821267
3375,52.3554902,4.9556577
3376,59.4070578,17.8352941
3377,45.7224804,4.8628788
3385,40.5569046,-74.4847346
3387,25.0236107,55.1864589
3389,53.129469,23.0941614
3390,52.3924715,4.6637487
3391,51.4945997,-0.0182725
3392,48.8566801,2.3851152
3393,49.4864026,8.4211817
3394,32.8379029,-96.8784099
3402,41.8625501,-87.6409664
3407,41.0826599,29.0121675
3413,-20.2452272,57.4918101
3417,43.3230705,21.8931503
3420,50.0807699,14.3765413
3429,-31.9510407,115.8578293
3433,39.1373431,-94.5777582
3435,48.1780466,16.3649629
3439,52.0274282,5.6242664
3443,47.6143474,-122.3388835
3445,50.08103,14.451122
3446,41.0236718,-73.6282168
3447,48.1526663,16.2948981
3448,37.4716231,-121.9191181
3449,49.5047683,6.1127634
3450,52.0940535,5.0130136
3451,51.6988129,-0.6097349
3463,52.3976232,-1.5782361
3471,56.4884295,84.9480469
3478,44.6369227,22.6597342
3490,39.1373431,-94.5777582
3493,42.6729301,23.3832916
3495,42.0064342,21.3833079
3497,-3.7353422,-38.4623003
3502,1.310338,103.752013
3505,52.5438827,5.7053579
3506,59.2906698,18.0171724
3513,37.4458254,-122.1608123
3518,36.8478405,-87.4651567
3519,20.5671053,-100.2561799
3553,50.0969757,8.6300397
3564,42.0010976,-87.9548634
3577,-7.0218585,110.4269788
3578,1.3172805,103.7021178
3583,34.5410814,69.2177228
3585,38.4246385,27.2347713
3589,26.1157917,91.7085933
3600,52.1284444,4.6309051
3602,-6.2535123,106.8326635
3608,38.9018308,22.4293466
3609,43.604652,1.444209
3625,15.5038827,-88.0138619
3629,-6.2387648,106.8241024
3633,48.7865723,2.2081887
3640,63.5494381,23.6916844
3642,-8.6640668,115.1672779
3645,50.122427,8.7397858
3648,22.3193039,114.1693611
3653,38.1656875,13.2175607
3660,53.8688989,10.6842713
3663,54.1391343,-4.4951699
3668,48.7535013,19.1447641
3669,-33.9603093,18.4722249
3679,-12.2397797,-38.9739082
3681,39.1373431,-94.5777582
3686,47.7920111,13.0106474
3688,32.8328295,-97.0407589
3691,41.9922824,-87.9592512
3698,-36.8157874,-73.0483909
3699,30.0659886,-95.4590305
3700,3.1496136,101.7062753
3701,-33.4354197,-70.649189
3708,50.0971376,8.6439447
3711,45.4408038,9.223812
3712,52.2459058,20.9403056
3719,-36.8641421,174.76457
3721,47.8290874,13.0007105
3726,44.4267674,26.1025384
3733,-33.8688197,151.2092955
3737,51.2134346,17.3898504
3743,-37.9184856,145.1331129
3744,-33.8187356,151.1914196
3752,61.4999162,21.8914667
3763,41.8531135,-87.6183281
3766,-26.1369496,28.1995992
3769,-33.9213904,151.1882048
3776,46.3446955,6.9345975
3785,39.4970685,-81.4454947
3786,42.8754355,74.6046568
3789,52.2903926,4.686739
3791,25.7823647,-80.1931295
3803,38.9988653,-77.4759471
3807,-6.304523,107.097716
3808,52.3971499,-1.5794205
3816,-34.6133169,-58.3708289
3817,-0.305245,-78.4560758
3825,47.4217225,8.5557002
3837,39.1373431,-94.5777582
3838,60.162932,24.940184
3841,60.3796831,23.1309778
3842,34.0486245,-118.2574589
3848,40.4515505,-80.0046619
3886,-31.962137,115.8763235
3887,-27.4656484,153.0277762
3888,-37.8175249,144.9567955
3890,40.5350509,-3.6478347
3893,-36.8641421,174.76457
3897,-1.3106691,36.8250274
3901,51.954241,6.3001908
3906,10.4930222,-66.8071526
3907,51.490672,7.4036793
3908,46.7960211,15.5546377
3911,63.8258471,20.2630354
3915,13.5004711,144.8063812
3917,52.3559486,4.9513635
3920,19.3402163,-70.6111982
3924,50.0956362,8.7760843
3925,59.7288871,11.03945
3927,52.0274282,5.6242664
3928,41.8992469,12.5126386
3930,48.0640854,11.5566161
3931,47.0821502,6.8019562
3933,52.2793842,4.7561995
3936,48.5768183,-96.5198202
3938,48.294046,23.0450111
3940,40.44277,15.0086913
3942,62.4235915,22.1748119
3947,38.421333,27.1858999
3948,40.9935855,28.8258581
3949,49.504184,5.9493425
3951,60.1966975,24.9365187
3956,53.7923921,-1.5404437
3957,34.1094993,74.7448508
3958,47.4359843,0.6953458
3968,50.4358998,30.5000435
3971,-29.7295132,31.0683968
3972,40.2057999,44.5062259
3976,49.680336,8.6177116
3977,64.2241134,27.731535
3979,48.1797828,16.3640282
3981,59.936328,10.8327012
3986,10.746903,106.676292
